 
  Elements  in  X-Direction : 100 
  Elements  in Y-Direction   :   20 
  Elements   in Z-Direction : 10 
  Total Elements  : 20000  

  Total Number of Processors  : 10 
 
 Iteration number : 1 ,C Value: 1.83704e+06 , CHANGE IS:  0.2 
 Iteration number : 2 ,C Value: 1.03839e+06 , CHANGE IS:  0.2 
 Iteration number : 3 ,C Value: 518949. , CHANGE IS:  0.2 
 Iteration number : 4 ,C Value: 359208. , CHANGE IS:  0.2 
 Iteration number : 5 ,C Value: 281234. , CHANGE IS:  0.2 
 Iteration number : 6 ,C Value: 221173. , CHANGE IS:  0.2 
 Iteration number : 7 ,C Value: 187178. , CHANGE IS:  0.2 
 Iteration number : 8 ,C Value: 130512. , CHANGE IS:  0.2 
 Iteration number : 9 ,C Value: 74245.6 , CHANGE IS:  0.2 
 Iteration number : 10 ,C Value: 37.4421 , CHANGE IS:  0.2 
 Iteration number : 11 ,C Value: 26097.7 , CHANGE IS:  0.2 
 Iteration number : 12 ,C Value: 60717.6 , CHANGE IS:  0.2 
 Iteration number : 13 ,C Value: 60.7642 , CHANGE IS:  0.2 
 Iteration number : 14 ,C Value: 24218.3 , CHANGE IS:  0.2 
 Iteration number : 15 ,C Value: 49987.7 , CHANGE IS:  0.2 
 Iteration number : 16 ,C Value: 30936.5 , CHANGE IS:  0.2 
 Iteration number : 17 ,C Value: 352.441 , CHANGE IS:  0.2 
 Iteration number : 18 ,C Value: 54328.5 , CHANGE IS:  0.2 
 Iteration number : 19 ,C Value: 28249.1 , CHANGE IS:  0.2 
 Iteration number : 20 ,C Value: 355.236 , CHANGE IS:  0.2 
 Iteration number : 21 ,C Value: 49988.3 , CHANGE IS:  0.2 
 Iteration number : 22 ,C Value: 693.414 , CHANGE IS:  0.2 
 Iteration number : 23 ,C Value: 51004.3 , CHANGE IS:  0.2 
 Iteration number : 24 ,C Value: 469.028 , CHANGE IS:  0.2 
 Iteration number : 25 ,C Value: 51403.3 , CHANGE IS:  0.2 
 Iteration number : 26 ,C Value: 369.049 , CHANGE IS:  0.2 
 Iteration number : 27 ,C Value: 51623.1 , CHANGE IS:  0.2 
 Iteration number : 28 ,C Value: 282.452 , CHANGE IS:  0.2 
 Iteration number : 29 ,C Value: 51752.8 , CHANGE IS:  0.2 
 Iteration number : 30 ,C Value: 27000.2 , CHANGE IS:  0.2 
 Iteration number : 31 ,C Value: 533.487 , CHANGE IS:  0.2 
 Iteration number : 32 ,C Value: 47947.9 , CHANGE IS:  0.2 
 Iteration number : 33 ,C Value: 677.405 , CHANGE IS:  0.2 
 Iteration number : 34 ,C Value: 48535.2 , CHANGE IS:  0.2 
 Iteration number : 35 ,C Value: 625.43 , CHANGE IS:  0.2 
 Iteration number : 36 ,C Value: 48736.8 , CHANGE IS:  0.2 
 Iteration number : 37 ,C Value: 789.207 , CHANGE IS:  0.2 
 Iteration number : 38 ,C Value: 373.637 , CHANGE IS:  0.2 
 Iteration number : 39 ,C Value: 116594. , CHANGE IS:  0.2 
 Iteration number : 40 ,C Value: 48610.2 , CHANGE IS:  0.2 
 Iteration number : 41 ,C Value: 540.508 , CHANGE IS:  0.2 
 Iteration number : 42 ,C Value: 48843.9 , CHANGE IS:  0.2 
 Iteration number : 43 ,C Value: 768.848 , CHANGE IS:  0.2 
 Iteration number : 44 ,C Value: 48872.6 , CHANGE IS:  0.2 
 Iteration number : 45 ,C Value: 710.839 , CHANGE IS:  0.2 
 Iteration number : 46 ,C Value: 48862.9 , CHANGE IS:  0.2 
 Iteration number : 47 ,C Value: 666.223 , CHANGE IS:  0.2 
 Iteration number : 48 ,C Value: 48870.9 , CHANGE IS:  0.2 
 Iteration number : 49 ,C Value: 630.487 , CHANGE IS:  0.2 
 Iteration number : 50 ,C Value: 48841.4 , CHANGE IS:  0.2 
 Iteration number : 51 ,C Value: 589.739 , CHANGE IS:  0.2 
 Iteration number : 52 ,C Value: 48836.4 , CHANGE IS:  0.2 
 Iteration number : 53 ,C Value: 583.213 , CHANGE IS:  0.2 
 Iteration number : 54 ,C Value: 48842.5 , CHANGE IS:  0.2 
 Iteration number : 55 ,C Value: 580.792 , CHANGE IS:  0.2 
 Iteration number : 56 ,C Value: 48845.6 , CHANGE IS:  0.2 
 Iteration number : 57 ,C Value: 581.633 , CHANGE IS:  0.2 
 Iteration number : 58 ,C Value: 48850.2 , CHANGE IS:  0.2 
 Iteration number : 59 ,C Value: 584.244 , CHANGE IS:  0.2 
 Iteration number : 60 ,C Value: 48851.6 , CHANGE IS:  0.2 
 Iteration number : 61 ,C Value: 585.537 , CHANGE IS:  0.2 
 Iteration number : 62 ,C Value: 48852.7 , CHANGE IS:  0.2 
 Iteration number : 63 ,C Value: 585.707 , CHANGE IS:  0.2 
 Iteration number : 64 ,C Value: 48853.7 , CHANGE IS:  0.2 
 Iteration number : 65 ,C Value: 586.967 , CHANGE IS:  0.2 
 Iteration number : 66 ,C Value: 48857.4 , CHANGE IS:  0.2 
 Iteration number : 67 ,C Value: 588.632 , CHANGE IS:  0.2 
 Iteration number : 68 ,C Value: 48860.8 , CHANGE IS:  0.2 
 Iteration number : 69 ,C Value: 590.731 , CHANGE IS:  0.2 
 Iteration number : 70 ,C Value: 48863.8 , CHANGE IS:  0.2 
 Iteration number : 71 ,C Value: 590.754 , CHANGE IS:  0.2 
 Iteration number : 72 ,C Value: 48864.4 , CHANGE IS:  0.2 
 Iteration number : 73 ,C Value: 590.767 , CHANGE IS:  0.2 
 Iteration number : 74 ,C Value: 48863.7 , CHANGE IS:  0.2 
 Iteration number : 75 ,C Value: 590.766 , CHANGE IS:  0.2 
 Iteration number : 76 ,C Value: 48862.6 , CHANGE IS:  0.2 
 Iteration number : 77 ,C Value: 588.649 , CHANGE IS:  0.2 
 Iteration number : 78 ,C Value: 48863. , CHANGE IS:  0.2 
 Iteration number : 79 ,C Value: 588.632 , CHANGE IS:  0.2 
 Iteration number : 80 ,C Value: 48863.2 , CHANGE IS:  0.2 
 Iteration number : 81 ,C Value: 588.619 , CHANGE IS:  0.2 
 Iteration number : 82 ,C Value: 48865.1 , CHANGE IS:  0.2 
 Iteration number : 83 ,C Value: 590.661 , CHANGE IS:  0.2 
 Iteration number : 84 ,C Value: 48866.3 , CHANGE IS:  0.2 
 Iteration number : 85 ,C Value: 590.625 , CHANGE IS:  0.2 
 Iteration number : 86 ,C Value: 48867.1 , CHANGE IS:  0.2 
 Iteration number : 87 ,C Value: 590.56 , CHANGE IS:  0.2 
 Iteration number : 88 ,C Value: 48867.8 , CHANGE IS:  0.2 
 Iteration number : 89 ,C Value: 590.477 , CHANGE IS:  0.2 
 Iteration number : 90 ,C Value: 48868.7 , CHANGE IS:  0.2 
 Iteration number : 91 ,C Value: 590.38 , CHANGE IS:  0.2 
 Iteration number : 92 ,C Value: 48869.7 , CHANGE IS:  0.2 
 Iteration number : 93 ,C Value: 592.335 , CHANGE IS:  0.2 
 Iteration number : 94 ,C Value: 48870.6 , CHANGE IS:  0.2 
 Iteration number : 95 ,C Value: 592.261 , CHANGE IS:  0.2 
 Iteration number : 96 ,C Value: 48871.5 , CHANGE IS:  0.2 
 Iteration number : 97 ,C Value: 592.172 , CHANGE IS:  0.2 
 Iteration number : 98 ,C Value: 48872.3 , CHANGE IS:  0.2 
 Iteration number : 99 ,C Value: 592.073 , CHANGE IS:  0.2 
 Iteration number : 100 ,C Value: 48872.8 , CHANGE IS:  0.2 
 Iteration number : 101 ,C Value: 591.959 , CHANGE IS:  0.2 
 Iteration number : 102 ,C Value: 48872.9 , CHANGE IS:  0.2 
 Iteration number : 103 ,C Value: 591.847 , CHANGE IS:  0.2 
 Iteration number : 104 ,C Value: 48872.8 , CHANGE IS:  0.2 
 Iteration number : 105 ,C Value: 591.707 , CHANGE IS:  0.2 
 Iteration number : 106 ,C Value: 48872.6 , CHANGE IS:  0.2 
 Iteration number : 107 ,C Value: 589.386 , CHANGE IS:  0.2 
 Iteration number : 108 ,C Value: 48872.4 , CHANGE IS:  0.2 
 Iteration number : 109 ,C Value: 589.146 , CHANGE IS:  0.2 
 Iteration number : 110 ,C Value: 48871.7 , CHANGE IS:  0.2 
 Iteration number : 111 ,C Value: 588.852 , CHANGE IS:  0.2 
 Iteration number : 112 ,C Value: 48868.8 , CHANGE IS:  0.2 
 Iteration number : 113 ,C Value: 586.352 , CHANGE IS:  0.2 
 Iteration number : 114 ,C Value: 48866.1 , CHANGE IS:  0.2 
 Iteration number : 115 ,C Value: 586.131 , CHANGE IS:  0.2 
 Iteration number : 116 ,C Value: 48865.9 , CHANGE IS:  0.2 
 Iteration number : 117 ,C Value: 589.283 , CHANGE IS:  0.2 
 Iteration number : 118 ,C Value: 48868. , CHANGE IS:  0.2 
 Iteration number : 119 ,C Value: 586.8 , CHANGE IS:  0.2 
 Iteration number : 120 ,C Value: 48868.8 , CHANGE IS:  0.2 
 Iteration number : 121 ,C Value: 585.373 , CHANGE IS:  0.2 
 Iteration number : 122 ,C Value: 48870. , CHANGE IS:  0.2 
 Iteration number : 123 ,C Value: 585.081 , CHANGE IS:  0.2 
 Iteration number : 124 ,C Value: 48871.4 , CHANGE IS:  0.2 
 Iteration number : 125 ,C Value: 584.871 , CHANGE IS:  0.2 
 Iteration number : 126 ,C Value: 48872.3 , CHANGE IS:  0.2 
 Iteration number : 127 ,C Value: 584.695 , CHANGE IS:  0.2 
 Iteration number : 128 ,C Value: 48873.5 , CHANGE IS:  0.2 
 Iteration number : 129 ,C Value: 586.629 , CHANGE IS:  0.2 
 Iteration number : 130 ,C Value: 48874.2 , CHANGE IS:  0.2 
 Iteration number : 131 ,C Value: 586.496 , CHANGE IS:  0.2 
 Iteration number : 132 ,C Value: 48874.7 , CHANGE IS:  0.2 
 Iteration number : 133 ,C Value: 586.369 , CHANGE IS:  0.2 
 Iteration number : 134 ,C Value: 48875.2 , CHANGE IS:  0.2 
 Iteration number : 135 ,C Value: 586.248 , CHANGE IS:  0.2 
 Iteration number : 136 ,C Value: 48875.4 , CHANGE IS:  0.2 
 Iteration number : 137 ,C Value: 586.133 , CHANGE IS:  0.2 
 Iteration number : 138 ,C Value: 48875.5 , CHANGE IS:  0.2 
 Iteration number : 139 ,C Value: 586.023 , CHANGE IS:  0.2 
 Iteration number : 140 ,C Value: 48875.1 , CHANGE IS:  0.2 
 Iteration number : 141 ,C Value: 585.921 , CHANGE IS:  0.2 
 Iteration number : 142 ,C Value: 48874.4 , CHANGE IS:  0.2 
 Iteration number : 143 ,C Value: 585.827 , CHANGE IS:  0.2 
 Iteration number : 144 ,C Value: 48872.7 , CHANGE IS:  0.2 
 Iteration number : 145 ,C Value: 585.751 , CHANGE IS:  0.2 
 Iteration number : 146 ,C Value: 48871.1 , CHANGE IS:  0.2 
 Iteration number : 147 ,C Value: 583.571 , CHANGE IS:  0.2 
 Iteration number : 148 ,C Value: 48872.4 , CHANGE IS:  0.2 
 Iteration number : 149 ,C Value: 585.583 , CHANGE IS:  0.2 
 Iteration number : 150 ,C Value: 48873.9 , CHANGE IS:  0.2 
 Iteration number : 151 ,C Value: 585.508 , CHANGE IS:  0.2 
 Iteration number : 152 ,C Value: 48875.1 , CHANGE IS:  0.2 
 Iteration number : 153 ,C Value: 585.439 , CHANGE IS:  0.2 
 Iteration number : 154 ,C Value: 48876. , CHANGE IS:  0.2 
 Iteration number : 155 ,C Value: 585.379 , CHANGE IS:  0.2 
 Iteration number : 156 ,C Value: 48876.9 , CHANGE IS:  0.2 
